player_id,Player,Mat,Runs,HS,Bat Av,100,Wkts,Bowl Av,5,Ct,St,Ave Diff,career_start,career_end,career_length
218,MA Noble (AUS),42,1997,133,30.25,1,121,25,9,26,0,5.25,1898,1909,12
219,WP Howell (AUS),18,158,35,7.52,0,49,28.71,1,12,0,-21.19,1898,1904,7
220,M Bisset (SA),3,103,35,25.75,0,0,0,0,2,1,0,1899,1910,12
221,JH Board (ENG),6,108,29,10.8,0,0,0,0,8,3,0,1899,1906,8
222,WR Cuttell (ENG),2,65,21,16.25,0,6,12.16,0,2,0,4.08,1899,1899,1
223,RR Dower (SA),1,9,9,4.5,0,0,0,0,2,0,0,1899,1899,1
224,HH Francis (SA),2,39,29,9.75,0,0,0,0,1,0,0,1899,1899,1
225,R Graham (SA),2,6,4,1.5,0,3,42.33,0,2,0,-40.83,1899,1899,1
226,S Haigh (ENG),11,113,25,7.53,0,24,25.91,1,8,0,-18.38,1899,1912,14
227,FW Milligan (ENG),2,58,38,14.5,0,0,0,0,1,0,0,1899,1899,1
228,F Mitchell (ENG/SA),5,116,41,11.6,0,0,0,0,2,0,0,1899,1912,14
229,WRT Solomon (SA),1,4,2,2,0,0,0,0,1,0,0,1899,1899,1
230,VM Tancred (SA),1,25,18,12.5,0,0,0,0,0,0,0,1899,1899,1
231,JT Tyldesley (ENG),31,1661,138,30.75,4,0,0,0,16,0,0,1899,1909,11
232,PF Warner (ENG),15,622,132,23.92,1,0,0,0,3,0,0,1899,1912,14
233,CEM Wilson (ENG),2,42,18,14,0,0,0,0,0,0,0,1899,1899,1
234,AG Archer (ENG),1,31,24,31,0,0,0,0,0,0,0,1899,1899,1
235,F Kuys (SA),1,26,26,13,0,2,15.5,0,0,0,-2.49,1899,1899,1
236,AW Powell (SA),1,16,11,8,0,1,10,0,2,0,-1.99,1899,1899,1
237,CFH Prince (SA),1,6,5,3,0,0,0,0,0,0,0,1899,1899,1
238,WA Shalders (SA),12,355,42,16.13,0,1,6,0,3,0,10.13,1899,1907,9
239,FJ Laver (AUS),15,196,45,11.52,0,37,26.05,2,8,0,-14.52,1899,1909,11
240,W Rhodes (ENG),58,2325,179,30.19,2,127,26.96,6,60,0,3.22,1899,1930,32
